ab,Allah Bapa
ad,adil
ak,akan
alk,alkitab
an,Allah Anak
anu,anugerah
apl,aplikasi
bag,bagian
bdg,Bandung
bds,berdosa
bg,bagi
bgt,begitu
bil,bilangan
bim,beriman
blj,belajar
blm,belum
bmzm,bermazmur
bnr,benar
br,baru
bs,bisa
btj,bertanggung jawab
ccp,cicipi
cin,cinta
cn,China
dg,dengan
dgnmu,denganmu
dkct,dukacita
dkt,dekat
dm,damai
dmn,dimana
dn,dunia
dr,dari
drpd,daripada
fi,Firman
ft,Firman Tuhan
ga,tidak
hdr,hadir
hr,hadir
hrp,harap
hrpk,harapkan
ht,hamba Tuhan
im,imamat
ind,indonesia
inj,injil
ist,istri
isti,istirahat
jd,jadi
jg,juga
jgn,jangan
jk,jika
jkl,jikalau
jkt,Jakarta
jmt,jumat
js,Juru Selamat
kad,keadilan
kbnr,kebenaran
kds,kudus
kej,kejadian
kel,keluaran
kem,kemampuan
khdr,kehadiran
kj,kerja
kkds,kekudusan
kkrn,kekristenan
klim,kelimpahan
kml,kemuliaan
kms,kamis
krg,kurang
krj,kerajaan
krn,karena
krn,kristen
krs,Kristus
ksc,kesucian
ksem,kesempurnaan
kt,kita
ktk,ketika
lbh,lebih
lbh,lebih
lim,limpah
mccp,mencicipi
mdkt,mendekat
mgn,minggu
mh,maha
mhrp,mengharapkan
ml,mulia
mli,melalui
mlk,milik
mlki,miliki
mprkn,mempraktekan
mr,mari
mrk,mereka
msh,masih
mtj,mempertanggungjawabkan
mzm,mazmur
ngr,negara
nm,namun
org,orang
pd,pada
pdt,pendeta
pers,persekutuan
phrp,pengharapan
pkh,penkhotbah
pkj,pekerja
pkjn,pekerjaan
pkt,perkataan
plg,paling
prk,praktek
prkan,praktekan
prof,profesor
ptr,Petrus
rab,rabu
rj,raja
rk,Roh Kudus
rm,Roma
sab,sabtu
samb,sambil
sbag,sebagian
sbg,sebagai
sbr,sumber
sbt,Sabat
sc,suci
sdh,sudah
sdr,saudara
sel,selasa
sem,sempurna
sen,senin
skct,sukacita
skr,sekarang
sl,saling
slg,segala
smg,Semarang
smi,suami
ssm,sesama
sy,saya
tdk,tidak
th,Tuhan
tj,tanggung jawab
tp,tapi
ttp,tetapi
ty,Tuhan Yesus
yg,yang
yhd,Yahudi
yk,Yesus Kristus
yoh,Yohanes
yos,Yosua
